Title,Course,Hourse
Networking in Google Cloud,3 Courses,10 Hours
Networking with Windows Server 2016 (70-741),10 Courses,31 Hours
ng-conf 2019,68 Courses,84 Hours
ng-conf: Hardwired 2020,42 Courses,55 Hours
Node.js,16 Courses,37 Hours
Node.js Developer on Microsoft Azure,3 Courses,10 Hours
NUKE: Core Skills,15 Courses,37 Hours
Payment Card Industry Data Security Standard (PCI DSS),9 Courses,20 Hours
PCI Professional (PCIP)™ Qualification (cert prep),7 Courses,18 Hours
Photoshop for Creative Professionals,17 Courses,39 Hours
Photoshop: Digital Art and Illustration,13 Courses,30 Hours
Photoshop: Photo Manipulation,9 Courses,21 Hours
Planning Microsoft Azure Business Continuity,4 Courses,6 Hours
Planning Microsoft Azure Data Solutions,5 Courses,6 Hours
Planning Microsoft Azure Deployment & Integration,4 Courses,8 Hours
Planning Microsoft Azure Identity and Security,6 Courses,16 Hours
Planning Microsoft Azure Infrastructure,4 Courses,15 Hours
Planning Microsoft Azure Solutions,10 Courses,15 Hours
"Planning, Tracking, and Releasing Software with Jira",5 Courses,11 Hours
Pluralsight LIVE 2018,9 Courses,51 Hours
Pluralsight LIVE 2019,8 Courses,49 Hours
Pluralsight LIVE Europe 2019,1 Courses,2 Hours
Pluralsight LIVE Europe 2020,20 Courses,7 Hours
PMI Agile Certified Practitioner (PMI-ACP)®,11 Courses,29 Hours
PMI Professional in Business Analysis (PMI-PBA)®,5 Courses,14 Hours
Practicing Agile - PMI-ACP®,12 Courses,31 Hours
Premiere Pro CC,10 Courses,24 Hours
PRINCE2 Agile® Practitioner,6 Courses,10 Hours
PRINCE2® Practitioner,10 Courses,21 Hours
Program Management Professional (PgMP)®,6 Courses,10 Hours
Programming Data Structures in R,3 Courses,4 Hours
Project Management Professional (PMP)®,14 Courses,38 Hours
Python,11 Courses,31 Hours
Python for Data Analysts,11 Courses,22 Hours
Qlik Sense for Analysts,6 Courses,13 Hours
Querying Data with SQL from PostgreSQL,5 Courses,10 Hours
Querying Data with SQL in MariaDB,5 Courses,8 Hours
Querying Data with T-SQL from SQL Server,7 Courses,19 Hours
React,13 Courses,44 Hours
Red Team Tools,23 Courses,9 Hours
Revit Architecture: Core Skills,7 Courses,19 Hours
Revit Architecture: Modeling Families,9 Courses,16 Hours
RHCSA: Red Hat Certified System Administrator (EX200),9 Courses,43 Hours
Salesforce Certified Administrator,11 Courses,17 Hours
Salesforce Certified Platform Developer I,8 Courses,10 Hours
Scaling Agile - Coaching,6 Courses,16 Hours
Scaling Agile - Leading,5 Courses,14 Hours
Scaling Agile - Managing,4 Courses,11 Hours
Scaling Agile - Practicing,3 Courses,9 Hours
Securing ASP.NET and ASP.NET Core Applications,11 Courses,8 Hours
Securing Data and Applications in Microsoft Azure,6 Courses,13 Hours
Securing Microsoft Azure Data Solutions,4 Courses,6 Hours
Security Awareness for Business Professionals,8 Courses,8 Hours
Security Event Triage,8 Courses,13 Hours
Security for Hackers and Developers,6 Courses,12 Hours
Security Fundamentals,6 Courses,18 Hours
Security in Google Cloud,3 Courses,6 Hours
Security Management,16 Courses,31 Hours
Server Maintenance Fundamentals,7 Courses,19 Hours
SharePoint 2016 Foundations,7 Courses,14 Hours
SharePoint 2016 Practitioner,11 Courses,34 Hours
SharePoint Conference 2019,61 Courses,53 Hours
SharePoint Server 2013 Administration,8 Courses,34 Hours
SharePoint Server 2013 Advanced Solutions,3 Courses,13 Hours
Snowforce 2019,21 Courses,14 Hours
Snowforce 2020,21 Courses,11 Hours
SOLIDWORKS: Core Skills,20 Courses,25 Hours
Splunk Fundamentals,9 Courses,14 Hours
Spring Framework: Building Web Applications and Services,3 Courses,4 Hours
Spring Framework: Core Spring,7 Courses,10 Hours
Spring Framework: Data Access with Spring,3 Courses,6 Hours
SSCP® (Systems Security Certified Practitioner),13 Courses,23 Hours
Survey of Information Security,12 Courses,25 Hours
SwiftFest Boston 2019,28 Courses,14 Hours
SysInternals Toolkit,9 Courses,11 Hours
Tableau Desktop for Analysts,8 Courses,16 Hours
Tech Skills Day 2020,11 Courses,4 Hours
Testing on Microsoft Azure,4 Courses,5 Hours
THAT Conference 2019,67 Courses,55 Hours
Typescript Core Language,9 Courses,15 Hours
Understanding Cisco DevNet Software Development and Network Programmability Fundamentals,3 Courses,7 Hours
Understanding DevOps,9 Courses,14 Hours
Unity Augmented Reality Development,5 Courses,7 Hours
Unity Game Dev: Art,12 Courses,42 Hours
Unity Game Dev: Design,10 Courses,17 Hours
Unity Game Dev: Fundamentals,12 Courses,26 Hours
Unity Game Dev: Programming,12 Courses,16 Hours
Unity Virtual Reality Development,8 Courses,11 Hours
Upgrading Your Skills to MCSA: Windows Server 2016 (70-743),14 Courses,48 Hours
Upgrading Your Technology Career,33 Courses,64 Hours
Using Access 2019,3 Courses,7 Hours
Using Excel 2019,3 Courses,11 Hours
Using Kubernetes as a Developer,5 Courses,13 Hours
Using Microsoft Office 2016,15 Courses,34 Hours
Using Microsoft Office 2019,23 Courses,51 Hours
Using Microsoft Project 2019,3 Courses,6 Hours
Using Outlook 2019,3 Courses,4 Hours
Using PowerPoint 2019,3 Courses,7 Hours
Using the Scrum Framework,7 Courses,13 Hours
Using Word 2019,3 Courses,6 Hours
UX Research,4 Courses,8 Hours
"VCP-DTM: Installing, Configuring, and Managing VMware Horizon (2V0-51.19)",4 Courses,7 Hours
VCP-DW: Implementing Mobile Device Management with VMware Workspace ONE (2V0-61.19),5 Courses,9 Hours
VCP6-DCV: VMware vSphere® 6 Data Center Virtualization,12 Courses,29 Hours
Veeam Availability Suite: Implementing VM Data Protection (VMCE),3 Courses,6 Hours
Visual Studio 2019,10 Courses,16 Hours
VMware vSphere® 6.5 and 6.7 Foundations (2V0-01.19),9 Courses,23 Hours
Vue,7 Courses,19 Hours
Web Application Penetration Testing,8 Courses,12 Hours
Web Application Security,14 Courses,39 Hours
Web Security Testing with Burp Suite,3 Courses,7 Hours
Windows PowerShell: Essentials,5 Courses,16 Hours
Windows PowerShell: Scripting and Toolmaking,14 Courses,35 Hours
Windows Server Management,5 Courses,15 Hours
Windows Troubleshooting Fundamentals,9 Courses,17 Hours
Women in Analytics 2019,19 Courses,12 Hours
Working with Node.js,10 Courses,16 Hours
ZBrush: Core Skills,9 Courses,17 Hours
